"VisitNo","Location","Date","Temp","SC","pH","DO","Turbidity","Chlorophyll","Phycocyanin","FDOM","Secchi","Microcystis","Tide","Weather","WindWaves","Flagged_Data","SiteComments"
1080,"Liberty Island",2015-07-23,21.3,177,6.9,NA,12.3,NA,NA,NA,74,"3=medium","4=flood","1=0-33% clouds","1=wind 1-3 mph; scaley ripples",NA,NA
1081,"Liberty Island",2015-07-23,22.1,209,8.1,NA,7,NA,NA,NA,86,"3=medium","4=flood","1=0-33% clouds","1=wind 1-3 mph; scaley ripples",NA,NA
1082,"Liberty Island",2015-07-23,19.6,242,9.3,NA,16.5,NA,NA,NA,41,"2=low","4=flood","1=0-33% clouds","2= wind 4-7 mph; small wavelets",NA,NA
1086,"Liberty Island",2015-07-23,19.4,265,8,NA,19.4,NA,NA,NA,41,"3=medium","4=flood","1=0-33% clouds","0=Calm; glassy",NA,NA
1087,"Liberty Island",2015-07-23,19.6,242,9,NA,16.5,NA,NA,NA,41,"3=medium","4=flood","1=0-33% clouds","0=Calm; glassy",NA,NA
1088,"Liberty Island",2015-08-13,22.2,218,8,9,8.3,NA,NA,NA,79,"3=medium","3=low slack","1=0-33% clouds","0=Calm; glassy",NA,NA
1089,"Liberty Island",2015-08-13,23.7,223,9,11,10.2,NA,NA,NA,45,"2=low","4=flood","1=0-33% clouds","0=Calm; glassy",NA,NA
1090,"Liberty Island",2015-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2=low","2=ebb","1=0-33% clouds","0=Calm; glassy",NA,NA
1091,"Liberty Island",2015-08-17,25.6,30,9,6,6.3,NA,NA,NA,61,"2=low","2=ebb","1=0-33% clouds","0=Calm; glassy","sc, Flag 4; ph, Flag 3",NA
1092,"Liberty Island",2015-09-03,18.6,255,NA,7,NA,NA,NA,NA,NA,"2=low","4=flood","1=0-33% clouds","0=Calm; glassy",NA,NA
1093,"Liberty Island",2015-09-03,18.4,234,NA,8,NA,NA,NA,NA,NA,"2=low","4=flood","1=0-33% clouds","0=Calm; glassy",NA,NA
1094,"Liberty Island",2015-09-03,21.7,217,NA,8,NA,NA,NA,NA,NA,"3=medium","4=flood","1=0-33% clouds","0=Calm; glassy",NA,NA
