"Project_na","site_type","ID","VegType","Area","Year"
"Browns","Reference",4,"unclassified",688901.114500523,2014
"Browns","Reference",4,"water",6040.85288715363,2014
"Browns","Reference",4,"SAV",5396.74538469315,2014
"Browns","Reference",4,"Emergent",257324.07396841,2014
"Browns","Reference",4,"Hyacinth",68.7881798744202,2014
"Browns","Reference",4,"Primrose",400.222137451172,2014
"Browns","Reference",4,"NPV",224968.615543842,2014
"Browns","Reference",4,"Riparian",193032.139669418,2014
"Browns","Reference",4,"Shadow",58613.7827239037,2014
"Winter","Restored",5,"unclassified",432946.550658703,2014
"Winter","Restored",5,"soil",30141.7297267914,2014
"Winter","Restored",5,"water",26839.8970928192,2014
"Winter","Restored",5,"SAV",56237.4637827873,2014
"Winter","Restored",5,"Emergent",616629.751336098,2014
"Winter","Restored",5,"Hyacinth",2701.49942779541,2014
"Winter","Restored",5,"Primrose",5734.43281316757,2014
"Winter","Restored",5,"NPV",262808.367945671,2014
"Winter","Restored",5,"Riparian",246292.951304913,2014
"Winter","Restored",5,"Shadow",110492.577291012,2014
"Browns","Reference",4,"unclassified",919441.572614193,2015
"Browns","Reference",4,"soil",81.2951216697693,2015
"Browns","Reference",4,"water",27052.5151033401,2015
"Browns","Reference",4,"SAV",8492.21347904205,2015
"Browns","Reference",4,"Emergent",171826.619855404,2015
"Browns","Reference",4,"Hyacinth",12.5069417953491,2015
"Browns","Reference",4,"Primrose",56.281238079071,2015
"Browns","Reference",4,"NPV",292749.986603737,2015
"Browns","Reference",4,"Riparian",13845.1845674515,2015
"Browns","Reference",4,"Shadow",1188.15947055817,2015
"Winter","Restored",5,"unclassified",382012.030197144,2015
"Winter","Restored",5,"soil",31561.2676205635,2015
"Winter","Restored",5,"water",56162.4221320152,2015
"Winter","Restored",5,"SAV",127589.566725254,2015
"Winter","Restored",5,"Emergent",798142.997612,2015
"Winter","Restored",5,"Hyacinth",75.0416507720947,2015
"Winter","Restored",5,"Spongeplant",56.281238079071,2015
"Winter","Restored",5,"Primrose",8367.14406108856,2015
"Winter","Restored",5,"NPV",371381.129671097,2015
"Winter","Restored",5,"Riparian",8104.49828338623,2015
"Winter","Restored",5,"Shadow",7372.84218835831,2015
"Browns","Reference",4,"unclassified",738259.760295868,2016
"Browns","Reference",4,"soil",68.7881798744202,2016
"Browns","Reference",4,"water",13101.0215306282,2016
"Browns","Reference",4,"SAV",3902.16584014893,2016
"Browns","Reference",4,"Emergent",465439.58544302,2016
"Browns","Reference",4,"Hyacinth",2851.5827293396,2016
"Browns","Reference",4,"Primrose",5096.57878160477,2016
"Browns","Reference",4,"NPV",27365.1886482239,2016
"Browns","Reference",4,"Riparian",148607.482412338,2016
"Browns","Reference",4,"Shadow",31999.0105834007,2016
"Winter","Restored",5,"unclassified",220072.147830963,2016
"Winter","Restored",5,"soil",34750.5377783775,2016
"Winter","Restored",5,"water",58438.6855387688,2016
"Winter","Restored",5,"SAV",124400.29656744,2016
"Winter","Restored",5,"Emergent",754237.378439426,2016
"Winter","Restored",5,"Hyacinth",11475.1190972328,2016
"Winter","Restored",5,"Primrose",72483.9811749458,2016
"Winter","Restored",5,"NPV",246774.468564034,2016
"Winter","Restored",5,"Riparian",230496.683817387,2016
"Winter","Restored",5,"Shadow",37439.5302643776,2016
"Browns","Reference",4,"unclassified",855562.367394447,2017
"Browns","Reference",4,"soil",137.57635974884,2017
"Browns","Reference",4,"water",6566.14444255829,2017
"Browns","Reference",4,"SAV",4371.17615747452,2017
"Browns","Reference",4,"Emergent",451719.470293522,2017
"Browns","Reference",4,"Hyacinth",7197.74500322342,2017
"Browns","Reference",4,"Primrose",25389.0918445587,2017
"Browns","Reference",4,"NPV",312.673544883728,2017
"Browns","Reference",4,"Riparian",61359.0564479828,2017
"Browns","Reference",4,"Shadow",22112.2730941772,2017
"Winter","Restored",5,"unclassified",393762.302013874,2017
"Winter","Restored",5,"soil",12075.4523034096,2017
"Winter","Restored",5,"water",12275.5633721352,2017
"Winter","Restored",5,"SAV",78143.3723373413,2017
"Winter","Restored",5,"Emergent",644751.60996294,2017
"Winter","Restored",5,"Hyacinth",5127.84613609314,2017
"Winter","Restored",5,"Primrose",301911.32146883,2017
"Winter","Restored",5,"NPV",30416.8824462891,2017
"Winter","Restored",5,"Riparian",230015.166558266,2017
"Winter","Restored",5,"Shadow",82308.1839551926,2017
"Browns","Reference",4,"unclassified",448698.662354231,2018
"Browns","Reference",4,"water",7552.96354389191,2018
"Browns","Reference",4,"SAV",81260.8658156395,2018
"Browns","Reference",4,"Emergent",2033843.63226914,2018
"Browns","Reference",4,"Hyacinth",12772.3736498356,2018
"Browns","Reference",4,"Primrose",7110.54263186455,2018
"Browns","Reference",4,"NPV",11901.9900255203,2018
"Browns","Reference",4,"Riparian",83406.4626569748,2018
"Browns","Reference",4,"Shadow",105478.350379229,2018
"Winter","Restored",5,"unclassified",1688.71772956848,2018
"Winter","Restored",5,"soil",6627.63876056671,2018
"Winter","Restored",5,"water",9178.06519460678,2018
"Winter","Restored",5,"SAV",111252.955355167,2018
"Winter","Restored",5,"Emergent",1174769.21179008,2018
"Winter","Restored",5,"Hyacinth",14596.998456955,2018
"Winter","Restored",5,"Primrose",89447.0985081196,2018
"Winter","Restored",5,"NPV",63994.8836867809,2018
"Winter","Restored",5,"Riparian",215224.761321545,2018
"Winter","Restored",5,"Shadow",103971.805966377,2018
"Browns","Reference",4,"soil",60.7244389057159,2019
"Browns","Reference",4,"water",110087.624456167,2019
"Browns","Reference",4,"SAV",84253.7131617069,2019
"Browns","Reference",4,"Emergent",2001610.52177,2019
"Browns","Reference",4,"Hyacinth",35992.2424314022,2019
"Browns","Reference",4,"Primrose",50172.8447358608,2019
"Browns","Reference",4,"NPV",21265.1201767921,2019
"Browns","Reference",4,"Riparian",486665.894870043,2019
"Browns","Reference",4,"Shadow",1867.99940633774,2019
"Winter","Restored",5,"soil",7651.27930212021,2019
"Winter","Restored",5,"water",40167.7705161572,2019
"Winter","Restored",5,"SAV",85158.7964653969,2019
"Winter","Restored",5,"Emergent",1031445.07777286,2019
"Winter","Restored",5,"Hyacinth",7414.16482639313,2019
"Winter","Restored",5,"Primrose",389321.727664232,2019
"Winter","Restored",5,"NPV",22138.3954410553,2019
"Winter","Restored",5,"Riparian",201859.601482391,2019
"Winter","Restored",5,"Shadow",5543.2737801075,2019
"Browns","Reference",4,"unclassified",4246.4081993103,2020
"Browns","Reference",4,"soil",2685.52299880981,2020
"Browns","Reference",4,"water",103134.489055634,2020
"Browns","Reference",4,"SAV",56832.2303771973,2020
"Browns","Reference",4,"Emergent",1272305.54281616,2020
"Browns","Reference",4,"Hyacinth",40458.9448509216,2020
"Browns","Reference",4,"Primrose",58441.1428146362,2020
"Browns","Reference",4,"NPV",13379.5877571106,2020
"Browns","Reference",4,"Riparian",1149667.99329376,2020
"Browns","Reference",4,"Shadow",8913.05472183228,2020
"Browns","Reference",4,"Marsh Invaded by Primrose",81902.448059082,2020
"Winter","Restored",5,"unclassified",2597.47306442261,2020
"Winter","Restored",5,"soil",8857.02294540405,2020
"Winter","Restored",5,"water",49071.8293418884,2020
"Winter","Restored",5,"SAV",47154.7421340942,2020
"Winter","Restored",5,"Emergent",935422.491580963,2020
"Winter","Restored",5,"Hyacinth",16785.5193099976,2020
"Winter","Restored",5,"Primrose",283000.493659973,2020
"Winter","Restored",5,"NPV",14168.0348968506,2020
"Winter","Restored",5,"Riparian",330183.251682281,2020
"Winter","Restored",5,"Shadow",13155.4606513977,2020
"Winter","Restored",5,"Marsh Invaded by Primrose",90343.2349510193,2020
"Browns","Reference",4,"unclassified",7816.43281173706,2021
