"SampleID","Source","Station","Latitude","Longitude","Date","Tide","Secchi","Temperature","Conductivity","TurbidityFNU","pH","Notes","DissolvedOxygen","Microcystis","Chlorophyll_sonde","Chlorophyll_Sign","Chlorophyll","Pheophytin_Sign","Pheophytin","DisAmmonia_Sign","DisAmmonia","DissOrthophos","DissOrthophos_Sign","DissNitrateNitrite","DissNitrateNitrite_Sign","TotPhos","TotPhos_Sign","TOC","TOC_Sign","DOC","DOC_Sign","TKN","TKN_Sign","DON","DON_Sign"
"EM0317B0019","FRP","Miner Slough",38.2459617510796,-121.66188970108,2017-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",2.58,"=",0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0022","FRP","Prospect Island",38.2457153786192,-121.664858517817,2017-03-27,"2=ebb",NA,11.4,94,28.2,6.5,NA,NA,"1=absent",NA,"=",4.87,"=",1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0021","FRP","Miner Slough",38.2459617510796,-121.66188970108,2017-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",3.13,"=",0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0023","FRP","Prospect Island",38.2457153786192,-121.664858517817,2017-03-27,"2=ebb",NA,12.6,96,11.7,6.7,NA,NA,"1=absent",NA,"=",4.22,"=",0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0020","FRP","Miner Slough",38.2459617510796,-121.66188970108,2017-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",3.01,"=",0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0024","FRP","Prospect Island",38.2457153786192,-121.664858517817,2017-03-27,"2=ebb",120,13.8,96,11.8,7.2,NA,NA,"1=absent",NA,"=",4.6,"=",1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0029","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2017-03-29,"1=high slack",28,15.5,468,20.6,6.8,NA,7.4,"1=absent",NA,"=",6.47,"=",2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0030","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2017-03-29,"2=ebb",55,15,480,17.7,7.3,NA,7.5,"1=absent",NA,"=",6.86,"=",2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0031","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2017-03-29,"2=ebb",64,15.6,481,12,7.4,NA,7.7,"1=absent",NA,"=",7.17,"=",2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0028","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2017-03-29,"2=ebb",62,16,472,10,7.3,NA,8.7,"1=absent",NA,"=",7.04,"=",2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
