"SampleID","Source","Station","Latitude","Longitude","Date","Tide","Secchi","Temperature","Conductivity","TurbidityFNU","pH","Notes","DissolvedOxygen","Microcystis","Chlorophyll_sonde","Chlorophyll_Sign","Chlorophyll","Pheophytin_Sign","Pheophytin","DisAmmonia_Sign","DisAmmonia","DissOrthophos","DissOrthophos_Sign","DissNitrateNitrite","DissNitrateNitrite_Sign","TotPhos","TotPhos_Sign","TOC","TOC_Sign","DOC","DOC_Sign","TKN","TKN_Sign","DON","DON_Sign"
"EM0317B0027","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2017-03-29,"2=ebb",68,16.5,478,9.8,7.1,NA,9.1,"1=absent",NA,"=",7.03,"=",2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0026","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2017-03-29,"2=ebb",68,16.9,483,11.1,7.2,NA,9.8,"1=absent",NA,"=",7.83,"=",2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0065","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-03-30,"2=ebb",39,13.3,135,22.7,6.5,NA,11.6,"1=absent",NA,"=",7.17,"=",1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0064","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-03-30,"2=ebb",37,13.1,134,25.6,6.9,NA,12.7,"1=absent",NA,"=",23.41,"=",2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0066","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-03-30,"2=ebb",37,13.2,135,20.1,7.2,NA,11.8,"1=absent",NA,"=",6.09,"=",1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0071","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-03-30,"2=ebb",41,13.7,138,20,7.4,NA,13,"1=absent",NA,"=",6.23,"=",1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0073","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-03-30,"2=ebb",41,12.2,126,20.2,7.6,NA,14.3,"1=absent",NA,"=",6.59,"=",1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0070","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-03-30,"2=ebb",44,13.9,127,25.5,6.7,NA,13.6,"1=absent",NA,"=",3.63,"=",2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0069","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-03-30,"2=ebb",54,14,131,24,6.9,NA,13.3,"1=absent",NA,"=",2.49,"=",1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0053","FRP","Webb Tract Islands and Berms",38.0961696666802,-121.590187261164,2017-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.2,"=",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0049","FRP","Webb Tract Islands and Berms",38.0961696666802,-121.590187261164,2017-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.57,"=",0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0052","FRP","Webb Tract Islands and Berms",38.0961696666802,-121.590187261164,2017-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.3,"=",0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0041","FRP","Broad Slough",38.0442251087892,-121.845518361401,2017-04-03,"2=ebb",44,15.2,148,54.5,6.8,NA,12.6,"1=absent",NA,"=",2.57,"=",1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0042","FRP","Broad Slough",38.0442251087892,-121.845518361401,2017-04-03,"2=ebb",45,15.3,145,19.1,7,NA,13.5,"1=absent",NA,"=",1.81,"=",0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0317B0045","FRP","Broad Slough",38.0442251087892,-121.845518361401,2017-04-03,"2=ebb",47,15.3,148,20.6,6.4,NA,13.5,"1=absent",NA,"=",1.79,"=",0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0085","FRP","Dow",38.0230226259843,-121.829513484252,2017-04-04,"4=flood",63,15.2,155,19.4,5.5,NA,11.8,"1=absent",NA,"=",1.47,"=",0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0086","FRP","Dow",38.0230226259843,-121.829513484252,2017-04-04,"1=high slack",54,15.3,158,14.3,7,NA,11.6,"1=absent",NA,"=",7.7,"=",1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0087","FRP","Dow",38.0230226259843,-121.829513484252,2017-04-04,"2=ebb",NA,15.5,155,15.4,7.2,NA,11.8,"1=absent",NA,"=",1.66,"=",0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0082","FRP","Dow",38.0230226259843,-121.829513484252,2017-04-04,"2=ebb",54,15.6,158,13.6,7.2,NA,12.5,"1=absent",NA,"=",1.82,"=",0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0083","FRP","Dow",38.0230226259843,-121.829513484252,2017-04-04,"2=ebb",66,15.9,158,13.9,6.8,NA,11.6,"1=absent",NA,"=",1.55,"=",0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0078","FRP","Winter Island",38.0436271402851,-121.848056633908,2017-04-06,"4=flood",47,14.7,206,20.4,5.7,NA,7.3,"1=absent",NA,"=",2.19,"=",2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0080","FRP","Winter Island",38.0436271402851,-121.848056633908,2017-04-06,"4=flood",NA,14.9,210,18.7,6.5,NA,6.9,"1=absent",NA,"=",6.09,"=",3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0079","FRP","Winter Island",38.0436271402851,-121.848056633908,2017-04-06,"4=flood",NA,15.6,159,20,6.9,NA,11.8,"1=absent",NA,"=",2.32,"=",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0075","FRP","Winter Island",38.0436271402851,-121.848056633908,2017-04-06,NA,NA,15.3,390,4.9,6.9,NA,3.1,"1=absent",NA,"=",7.23,"=",3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0076","FRP","Winter Island",38.0436271402851,-121.848056633908,2017-04-06,NA,NA,15.4,157,21.1,7.5,NA,11.9,"1=absent",NA,"=",10.17,"=",2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0077","FRP","Winter Island",38.0436271402851,-121.848056633908,2017-04-06,"1=high slack",65,15.8,159,14.7,7.4,NA,12.7,"1=absent",NA,"=",2.36,"=",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0098","FRP","Tule Red",38.1245112418157,-121.985706806912,2017-04-10,NA,NA,13.1,4249,NA,7.2,NA,2.9,"1=absent",NA,"=",18.38,"=",13.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0099","FRP","Tule Red",38.1245112418157,-121.985706806912,2017-04-10,NA,NA,12.9,3833,NA,7.2,NA,3.2,"1=absent",NA,"=",26.41,"=",16.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0100","FRP","Tule Red",38.1245112418157,-121.985706806912,2017-04-10,NA,NA,14.7,7167,NA,7.7,NA,4.7,"1=absent",NA,"=",34.65,"=",10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0101","FRP","Tule Red",38.1245112418157,-121.985706806912,2017-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",19.61,"=",10.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0102","FRP","Tule Red",38.1245112418157,-121.985706806912,2017-04-10,NA,NA,16.7,11292,NA,7.4,NA,4.5,"1=absent",NA,"=",32.5,"=",14.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0103","FRP","Tule Red",38.1245112418157,-121.985706806912,2017-04-10,NA,NA,17.4,2266,NA,7.4,NA,7.4,"1=absent",NA,"=",23.19,"=",5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0112","FRP","Grizzly Bay",38.1250182328571,-122.00591706432,2017-04-11,"2=ebb",39,15.9,196,24.7,7.4,NA,13.2,"1=absent",NA,"=",14.15,"=",2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0114","FRP","Grizzly Bay",38.1250182328571,-122.00591706432,2017-04-11,"2=ebb",42,15.2,188,24.6,7.6,NA,13.4,"1=absent",NA,"=",11.1,"=",2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0105","FRP","Ryer Island",38.0818063940171,-122.015335298298,2017-04-11,"4=flood",60,14.6,233,24.7,7.6,NA,11.9,"1=absent",NA,"=",3.43,"=",1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0107","FRP","Ryer Island",38.0818063940171,-122.015335298298,2017-04-11,"4=flood",58,14.5,158,21.5,7.7,NA,12.9,"1=absent",NA,"=",3.07,"=",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0109","FRP","Ryer Island",38.0818063940171,-122.015335298298,2017-04-11,"4=flood",56,14.5,157,22.2,7.7,NA,13.1,"1=absent",NA,"=",3.46,"=",1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0120","FRP","Browns Island",38.0391361205742,-121.865658668262,2017-04-13,"2=ebb",64,14.5,440,14.9,7.3,NA,7.7,"1=absent",NA,"=",2.3,"=",1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0119","FRP","Browns Island",38.0391361205742,-121.865658668262,2017-04-13,"2=ebb",64,14.5,440,14.9,7.3,NA,7.7,"1=absent",NA,"=",1.59,"=",1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0121","FRP","Browns Island",38.0391361205742,-121.865658668262,2017-04-13,"2=ebb",66,14.8,565,15.9,7.3,NA,8.1,"1=absent",NA,"=",1.87,"=",1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0122","FRP","Browns Island",38.0391361205742,-121.865658668262,2017-04-13,"2=ebb",52,14.8,470,12.5,7.4,NA,8.8,"1=absent",NA,"=",1.37,"=",0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0417B0123","FRP","Browns Island",38.0391361205742,-121.865658668262,2017-04-13,"2=ebb",64,15.7,530,NA,7.4,NA,9.7,"1=absent",NA,"=",1.24,"=",0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0141","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<",0.5,"<",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0142","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.67,"=",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0143","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-06-07,"2=ebb",NA,18.6,102,15.9,6.7,NA,5,"1=absent",NA,"=",2.29,"=",1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0144","FRP","Decker Island",38.0843315691554,-121.72349130967,2017-06-07,"3=low slack",NA,19.2,99,12.9,6.8,NA,9.1,"1=absent",NA,"=",1.99,"=",1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0150","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.77,"=",1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0148","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-06-26,"2=ebb",95,22.7,170,11.3,7.8,NA,8.9,"1=absent",NA,"=",1.99,"=",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0617B0149","FRP","Horseshoe Bend",38.0923492935549,-121.715195261958,2017-06-26,"2=ebb",NA,22.36,180,9.26,7.7,NA,8.75,"1=absent",NA,"=",2.28,"=",0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EM0118B0005","FRP","Decker Island",38.0843315691554,-121.72349130967,2018-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.71,"=",2.32,"=",0.17,0.07,"=",0.58,"=",0.08,"=",NA,NA,NA,NA,0.6,"=",0.3,"="
"EM0118B0004","FRP","Decker Island",38.0843315691554,-121.72349130967,2018-01-23,"1=high slack",NA,10.2,498,5.2,7.4,NA,10.5,"1=absent",NA,"=",0.72,"=",0.81,"=",0.11,0.07,"=",0.52,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.3,"="
"EM0118B0003","FRP","Decker Island",38.0843315691554,-121.72349130967,2018-01-23,"2=ebb",NA,10,524,7.4,7.5,NA,9.6,"1=absent",NA,"=",0.94,"=",1.25,"=",0.09,0.07,"=",0.48,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.3,"="
"EM0218B0009","FRP","Miner Slough",38.2459617510796,-121.66188970108,2018-03-02,"2=ebb",NA,NA,NA,NA,NA,NA,NA,"1=absent",NA,"=",2.07,"=",1.63,"=",0.35,0.04,"=",0.18,"=",0.07,"=",NA,NA,NA,NA,0.6,"=",0.2,"="
"EM0318B0012","FRP","Decker Island",38.0843315691554,-121.72349130967,2018-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",1.13,"=",0.66,"=",0.22,0.07,"=",0.41,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.2,"="
"EM0318B0013","FRP","Decker Island",38.0843315691554,-121.72349130967,2018-03-09,"2=ebb",NA,11.9,172,3.9,7.5,NA,12.4,"1=absent",NA,"=",1.24,"=",1.09,"=",0.08,0.06,"=",0.4,"=",0.06,"=",NA,NA,NA,NA,0.4,"=",0.2,"="
"EM0318B0014","FRP","Decker Island",38.0843315691554,-121.72349130967,2018-03-09,"2=ebb",NA,11.9,172,3.9,7.5,NA,12.4,"1=absent",NA,"=",0.89,"=",0.85,"=",0.07,0.06,"=",0.39,"=",0.06,"=",NA,NA,NA,NA,0.5,"=",0.2,"="
"EM0318B0018","FRP","Winter Island",38.0436271402851,-121.848056633908,2018-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",3.58,"=",1.23,"=",0.16,0.07,"=",0.51,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.3,"="
"EM0318B0019","FRP","Broad Slough",38.0442251087892,-121.845518361401,2018-03-12,"4=flood",NA,NA,NA,NA,NA,NA,NA,"1=absent",NA,"=",3.26,"=",0.75,"=",0.17,0.07,"=",0.49,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.3,"="
"EM0318B0017","FRP","Tule Red",38.1245112418157,-121.985706806912,2018-03-12,NA,NA,20.8,NA,262.7,6.8,NA,9,"1=absent",15.1,"=",2.71,"=",3.02,"=",0.32,0.01,"=",0.51,"=",0.09,"=",NA,NA,NA,NA,1.6,"=",1,"="
"EM0318B0020","FRP","Winter Island",38.0436271402851,-121.848056633908,2018-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",3.11,"=",0.88,"=",0.07,0.08,"=",0.06,"=",NA,NA,NA,NA,NA,NA,NA,NA,0.6,"="
"EM0318B0025","FRP","Honker-Spoonbill",38.0656411733173,-121.914993923077,2018-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",3.67,"=",1.17,"=",0.14,0.07,"=",0.52,"=",0.09,"=",NA,NA,NA,NA,1.5,"=",0.4,"="
"EM0318B0026","FRP","Blacklock Marsh",38.1798693337588,-121.909963325386,2018-03-13,"4=flood",34,14.4,1530,32.7,7.6,NA,9.4,"1=absent",5,NA,NA,NA,NA,"=",0.1,0.05,"=",0.52,"=",0.1,"=",NA,NA,NA,NA,1.5,"=",0.4,"="
"EM0318B0027","FRP","Blacklock Marsh",38.1798693337588,-121.909963325386,2018-03-13,"4=flood",25,14.7,1550,43.9,7.4,NA,8.5,"1=absent",8.8,NA,NA,NA,NA,"=",0.1,0.05,"=",0.47,"=",0.12,"=",NA,NA,NA,NA,0.7,"=",0.5,"="
"EM0318B0021","FRP","Webb Tract Islands and Berms",38.0961696666802,-121.590187261164,2018-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",2.03,"=",0.79,"=",0.12,0.06,"=",0.57,"=",0.07,"=",NA,NA,NA,NA,0.7,"=",0.6,"="
"EM0318B0022","FRP","Webb Tract Islands and Berms",38.0961696666802,-121.590187261164,2018-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",8.01,"=",1.69,"=",0.1,0.06,"=",0.58,"=",0.07,"=",NA,NA,NA,NA,0.7,"=",0.5,"="
"EM0318B0023","FRP","Webb Tract Islands and Berms",38.0961696666802,-121.590187261164,2018-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",4.24,"=",0.9,"=",0.1,0.06,"=",0.58,"=",0.07,"=",NA,NA,NA,NA,0.6,"=",0.4,"="
"EM0318B0034","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2018-03-14,"1=high slack",183,11.3,8,NA,7.3,NA,11.5,"1=absent",NA,NA,NA,NA,NA,"=",0.01,0.07,"=",0.04,"=",0.07,"=",NA,NA,NA,NA,0.4,"=",0.3,"="
"EM0318B0035","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2018-03-14,"1=high slack",183,11.3,8,NA,7.3,NA,11.5,"1=absent",NA,NA,NA,NA,NA,"=",0.01,0.06,"=",0.03,"=",0.06,"=",NA,NA,NA,NA,0.3,"=",0.3,"="
"EM0318B0036","FRP","Lindsey Slough",38.2593023760425,-121.786704466262,2018-03-14,"1=high slack",183,11.3,8,NA,7.3,NA,11.5,"1=absent",NA,NA,NA,NA,NA,"=",0.02,0.06,"=",0.05,"=",0.07,"=",NA,NA,NA,NA,0.4,"=",0.3,"="
"EM0318B0031","FRP","Liberty Island",38.2679927034433,-121.68242232517,2018-03-14,"2=ebb",160,13.6,214,2.9,8,NA,12.1,"1=absent",1.3,NA,NA,NA,NA,"=",0.22,0.07,"=",0.33,"=",0.08,"=",NA,NA,NA,NA,0.5,"=",0.3,"="
"EM0318B0033","FRP","Liberty Island",38.2679927034433,-121.68242232517,2018-03-14,"2=ebb",160,13.6,214,2.9,8,NA,12.1,"1=absent",1.3,NA,NA,NA,NA,"=",0.17,0.06,"=",0.32,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.3,"="
"EM0318B0032","FRP","Liberty Island",38.2679927034433,-121.68242232517,2018-03-14,"2=ebb",160,13.6,214,2.9,8,NA,12.1,"1=absent",1.3,NA,NA,NA,NA,"=",0.2,0.07,"=",0.33,"=",0.07,"=",NA,NA,NA,NA,0.5,"=",0.2,"="
"EM0318B0028","FRP","Miner Slough",38.2459617510796,-121.66188970108,2018-03-14,"3=low slack",200,9.8,2,18.3,7.2,NA,NA,"1=absent",0.7,"=",3.06,"=",1.59,"=",0.03,0.03,"=",0.19,"=",0.04,"=",NA,NA,NA,NA,0.2,"=",0.3,"="
"EM0318B0030","FRP","Miner Slough",38.2459617510796,-121.66188970108,2018-03-14,"3=low slack",200,9.8,2,18.3,7.2,NA,NA,"1=absent",0.7,NA,NA,NA,NA,"=",0.41,0.06,"=",0.22,"=",0.07,"=",NA,NA,NA,NA,0.6,"=",0.3,"="
"EM0318B0029","FRP","Miner Slough",38.2459617510796,-121.66188970108,2018-03-14,"3=low slack",200,9.8,2,18.3,7.2,NA,NA,"1=absent",0.7,NA,NA,NA,NA,"=",0.09,0.04,"=",0.26,"=",0.04,"=",NA,NA,NA,NA,0.3,"=",0.3,"="
"EM0318B0037","FRP","Grizzly Bay",38.1250182328571,-122.00591706432,2018-03-15,"4=flood",15,12.5,6540,149.9,8.5,NA,10.7,"1=absent",37.1,"=",79.39,"=",17.15,"=",0.01,0.03,"=",0.06,"=",0.24,"=",NA,NA,NA,NA,1,"=",0.2,"="
"EM0318B0038","FRP","Grizzly Bay",38.1250182328571,-122.00591706432,2018-03-15,"4=flood",NA,NA,NA,NA,NA,NA,NA,"1=absent",NA,"=",35.34,"=",6.46,"<",0.01,0.03,"=",0.15,"=",0.35,"=",NA,NA,NA,NA,0.7,"=",0.2,"="
"EM0318B0039","FRP","Wings Landing",38.2205417508711,-122.038214948606,2018-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",2.69,"=",4.95,"=",0.12,0.39,"=",3.575,"=",0.7,"=",NA,NA,NA,NA,1.3,"=",0.8,"="
"EM0318B0040","FRP","Wings Landing",38.2205417508711,-122.038214948606,2018-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",2.56,"=",4.18,"=",0.11,0.33,"=",2.7,"=",0.68,"=",NA,NA,NA,NA,1.2,"=",0.6,"="
"EM0318B0042","FRP","Yolo Flyway Farms",38.3619774019858,-121.641732337589,2018-03-20,NA,NA,12.4,471,224,7.8,NA,8.5,"1=absent",18.2,"=",35.75,"=",5.26,"=",0.02,0.08,"=",0.16,"=",0.25,"=",NA,NA,NA,NA,0.8,"=",0.5,"="
"EM0318B0044","FRP","Browns Island",38.0391361205742,-121.865658668262,2018-03-22,"3=low slack",93,13.6,1060,6,7.5,NA,9.8,"1=absent",5.6,"=",2.65,"=",1.01,"=",0.03,0.1,"=",0.24,"=",0.11,"=",NA,NA,NA,NA,0.4,"=",0.3,"="
"EM0318B0045","FRP","Liberty Island",38.2679927034433,-121.68242232517,2018-03-23,"4=flood",100,12.2,211,5.7,8.1,NA,9.9,"1=absent",2.6,"=",1.11,"=",0.99,"=",0.11,0.1,"=",0.4,"=",0.1,"=",NA,NA,NA,NA,0.5,"=",0.2,"="
"EM0318B0048","FRP","Honker-Spoonbill",38.0656411733173,-121.914993923077,2018-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",4.01,"=",2.85,"=",0.12,0.04,"=",0.43,"=",0.1,"=",NA,NA,NA,NA,0.7,"=",0.7,"="
