skeleton,start_time,end_time,volume
20210504DBNS1,1899-12-30 13:12:28,1899-12-30 13:16:07,475.273728
20210504DBNS2,1899-12-30 13:23:56,1899-12-30 13:29:03,562.5325843
20210504DBNS3,1899-12-30 13:58:25,1899-12-30 14:04:51,588.95496
20210504DBOW1,1899-12-30 12:42:37,1899-12-30 12:47:49,1052.77824
20210504DBOW2,1899-12-30 12:52:37,1899-12-30 12:57:44,1154.4192
20210504DBOW3,1899-12-30 13:02:09,1899-12-30 13:07:12,1063.4688
20210513DSCT1NS,1899-12-30 09:49:09,1899-12-30 09:54:12,503.488512
20210513DSCT1OW,1899-12-30 09:38:42,1899-12-30 09:43:43,1126.07136
20210513DSCT2NS,1899-12-30 10:26:33,1899-12-30 10:31:04,407.540736
20210513DSCT2NS2,1899-12-30 11:18:02,1899-12-30 11:23:08,354.212352
20210513DSCT2OW,1899-12-30 10:07:01,1899-12-30 10:22:10,2040.07104
20210513DSCT3OW,1899-12-30 11:34:33,1899-12-30 11:39:35,355.072896
20210513DSCT3OW2,1899-12-30 11:46:15,1899-12-30 11:51:18,446.51232
20210513DSCT4OW,1899-12-30 10:36:25,1899-12-30 10:42:09,524.675232
20210513DSCT4OW2,1899-12-30 10:57:34,1899-12-30 11:02:32,174.26736
20210514EMC3NS,1899-12-30 10:40:51,1899-12-30 10:50:42,705.5119872
20210514EMC3OW,1899-12-30 10:28:55,1899-12-30 10:35:42,1136.931552
20210514EMC4NS,1899-12-30 10:55:04,1899-12-30 11:09:31,1328.718528
20210514EMC4OW,1899-12-30 10:15:45,1899-12-30 10:27:11,1671.656918
20210514GBC2NS,1899-12-30 14:02:45,1899-12-30 14:09:51,530.67888
20210514GBC2OW,1899-12-30 13:52:30,1899-12-30 13:59:03,1073.042957
20210518DSCT1NS,1899-12-30 13:50:00,1899-12-30 13:55:12,NA
20210518DSCT1OW,1899-12-30 13:58:38,1899-12-30 14:03:51,819.8498304
20210518DSCT2NS,1899-12-30 12:00:14,1899-12-30 12:05:17,636.16536
20210518DSCT2NS2,1899-12-30 12:49:36,1899-12-30 12:54:42,609.70896
20210518DSCT2OW,1899-12-30 12:59:20,1899-12-30 13:04:24,865.662336
20210518DSCT3OW,1899-12-30 13:11:00,1899-12-30 13:16:05,NA
20210518DSCT3OW2,1899-12-30 13:19:13,1899-12-30 13:24:16,618.379776
20210518DSCT4OW,1899-12-30 11:33:49,1899-12-30 11:39:06,650.911968
20210518DSCT4OW2,1899-12-30 11:43:19,1899-12-30 11:48:35,478.35216
20210519DBNS1,1899-12-30 10:45:29,1899-12-30 10:50:34,571.31784
20210519DBNS2,1899-12-30 11:06:06,1899-12-30 11:11:09,802.48104
20210519DBNS3,1899-12-30 11:18:01,1899-12-30 11:23:16,612.144288
20210519DBOW1,1899-12-30 10:08:50,1899-12-30 10:13:54,NA
20210519DBOW2,1899-12-30 10:17:53,1899-12-30 10:23:17,996.79392
20210519DBOW3,1899-12-30 10:26:50,1899-12-30 10:31:52,1160.25984
20210519EMC3NS,1899-12-30 13:50:48,1899-12-30 13:57:37,769.533408
20210519EMC3OW,1899-12-30 13:42:25,1899-12-30 13:48:07,1134.00864
20210519EMC4NS,1899-12-30 14:01:00,1899-12-30 14:12:19,1321.06104
20210519EMC4OW,1899-12-30 13:20:47,1899-12-30 13:31:12,1985.71392
20210519GBC2NS,1899-12-30 15:39:58,1899-12-30 15:45:50,678.2752858
20210519GBC2OW,1899-12-30 15:31:09,1899-12-30 15:36:40,NA
20210603DSCT1NS,1899-12-30 13:12:25,1899-12-30 13:17:26,574.3872
20210603DSCT1OW,1899-12-30 13:21:34,1899-12-30 13:26:59,937.97856
20210603DSCT2NS,1899-12-30 12:15:19,1899-12-30 12:20:18,560.008512
20210603DSCT2NS2,1899-12-30 12:26:44,1899-12-30 12:31:46,564.527808
20210603DSCT2OW,1899-12-30 11:06:29,1899-12-30 11:19:44,2657.59488
20210603DSCT3OW,1899-12-30 11:23:56,1899-12-30 11:28:58,926.21664
20210603DSCT3OW2,1899-12-30 11:30:35,1899-12-30 11:35:40,784.99296
20210603DSCT4OW,1899-12-30 11:50:21,1899-12-30 11:54:54,828.68256
20210603DSCT4OW2,1899-12-30 11:58:25,1899-12-30 12:03:36,824.109408
20210604EMC3NS,1899-12-30 12:10:30,1899-12-30 12:18:32,735.438528
20210604EMC3OW,1899-12-30 11:59:58,1899-12-30 12:06:53,1949.31072
20210604EMC4NS,1899-12-30 12:24:46,1899-12-30 12:39:24,1430.838864
20210604EMC4OW,1899-12-30 11:39:08,1899-12-30 11:48:51,NA
20210604GBC2NS,1899-12-30 09:43:25,1899-12-30 09:50:02,587.215728
20210604GBC2OW,1899-12-30 09:31:46,1899-12-30 09:37:03,1041.67584
20210616DSCT1NS,1899-12-30 13:01:28,1899-12-30 13:06:00,708.297408
20210616DSCT1OW,1899-12-30 13:11:27,1899-12-30 13:16:55,684.10224
20210616DSCT2NS,1899-12-30 12:28:40,1899-12-30 12:34:05,539.583552
20210616DSCT2NS2,1899-12-30 12:42:31,1899-12-30 12:47:32,402.84864
20210616DSCT2OW,1899-12-30 11:12:39,1899-12-30 11:19:44,2018.06208
20210616DSCT3OW,1899-12-30 11:28:05,1899-12-30 11:31:42,443.874816
20210616DSCT3OW2,1899-12-30 11:36:19,1899-12-30 11:42:18,757.57032
20210616DSCT4OW,1899-12-30 11:57:30,1899-12-30 12:05:07,729.058752
20210616DSCT4OW2,1899-12-30 12:10:14,1899-12-30 12:15:37,514.500624
20210617DBNS1,1899-12-30 10:11:27,1899-12-30 10:16:36,489.660336
20210617DBNS2,1899-12-30 10:22:44,1899-12-30 10:26:46,412.07616
20210617DBNS3,1899-12-30 09:58:01,1899-12-30 10:03:12,459.108864
20210617DBOW1,1899-12-30 09:20:15,1899-12-30 09:25:23,1021.7952
20210617DBOW2,1899-12-30 09:31:11,1899-12-30 09:36:24,1055.7648
20210617DBOW3,1899-12-30 09:45:34,1899-12-30 09:51:05,1103.39136
20210617EMC3NS,1899-12-30 11:57:18,1899-12-30 12:05:25,1093.012416
20210617EMC3OW,1899-12-30 11:48:06,1899-12-30 11:54:11,1311.50304
20210617EMC4NS,1899-12-30 12:14:04,1899-12-30 12:28:57,1668.58488
20210617EMC4OW,1899-12-30 11:26:26,1899-12-30 11:35:11,1985.26464
20210617GBC2NS,1899-12-30 13:55:12,1899-12-30 14:02:25,872.169984
20210617GBC2OW,1899-12-30 13:46:16,1899-12-30 13:51:42,1161.12672
20210630DSCT1NS,1899-12-30 09:59:38,1899-12-30 10:06:09,NA
20210630DSCT1OW,1899-12-30 10:12:29,1899-12-30 10:17:49,1212.85152
20210630DSCT2NS,1899-12-30 11:17:33,1899-12-30 11:23:12,609.36624
20210630DSCT2NS2,1899-12-30 11:30:45,1899-12-30 11:35:46,417.5943552
20210630DSCT2OW,1899-12-30 11:03:30,1899-12-30 11:13:59,1469.90304
20210630DSCT3OW,1899-12-30 10:29:43,1899-12-30 10:34:54,770.112
