skeleton,total_copes,total_clads,total_amphs,total_zoops,num_images,zoops_p_image
20210804DBOW2,493,902,37,1432,244,5.868852459
20210804DBOW3,424,938,57,1419,207,6.855072464
20210804EMC3NS,1572,904,67,2543,487,5.221765914
20210804EMC3OW,3561,730,1,4292,342,12.5497076
20210804EMC4NS,3692,1684,171,5547,777,7.138996139
20210804EMC4OW,9539,4484,3,14026,471,29.77919321
20210804GBC2NS,734,768,5,1507,512,2.943359375
20210804GBC2OW,226,277,0,503,290,1.734482759
20210818DSCT1NS,122,221,76,419,1012,0.414031621
20210818DSCT1OW,16,139,19,174,824,0.211165049
20210818DSCT2NS,80,25,24,129,748,0.172459893
20210818DSCT2NS2,159,38,17,214,977,0.219037871
20210818DSCT2OW,111,75,0,186,1567,0.118698149
20210818DSCT3OW,347,228,27,602,990,0.608080808
20210818DSCT3OW2,181,365,92,638,1064,0.59962406
20210818DSCT4OW,38,7,6,51,895,0.05698324
20210818DSCT4OW2,161,165,49,375,1124,0.333629893
20210819DBNS1,1370,2590,175,4135,720,5.743055556
20210819DBNS2,1265,1793,192,3250,1043,3.116011505
20210819DBNS3,1582,1711,132,3425,1322,2.590771558
20210819DBOW1,1696,1449,136,3281,948,3.460970464
20210819DBOW2,831,1219,71,2121,382,5.552356021
20210819DBOW3,557,804,28,1389,424,3.275943396
20210819EMC3NS,10174,3034,1,13209,1092,12.09615385
20210819EMC3OW,4824,492,3,5319,540,9.85
20210819EMC4OW,1,0,0,1,787,0.001270648
20210819GBC2NS,15250,4292,17,19559,865,22.61156069
20210819GBC2OW,1418,489,0,1907,504,3.783730159
20210831DSCT1NS,23,94,8,125,540,0.231481481
20210831DSCT1OW,27,117,37,181,520,0.348076923
20210831DSCT2NS,59,25,11,95,454,0.209251101
20210831DSCT2OW,120,96,4,220,882,0.249433107
20210831DSCT3OW,9,31,5,45,479,0.09394572
20210831DSCT3OW2,18,56,2,76,542,0.140221402
20210831DSCT4OW,15,35,0,50,605,0.082644628
20210831DSCT4OW2,105,113,27,245,577,0.424610052
20210901DBNS1,2110,1292,172,3574,965,3.703626943
20210901DBNS2,619,223,33,875,714,1.225490196
20210901DBNS3,1176,80,52,1308,774,1.689922481
20210901DBOW1,2391,528,130,3049,1075,2.83627907
20210901DBOW2,2862,591,154,3607,1020,3.53627451
20210901DBOW3,3893,1136,316,5345,1135,4.709251101
20210901EMC3NS,817,29,0,846,1307,0.647283856
20210901EMC3OW,170,2,0,172,987,0.174265451
20210901EMC4NS,643,20,0,663,147,4.510204082
20210901EMC4OW,3326,2684,0,6010,715,8.405594406
20210901GBC2NS,714,7,18,739,960,0.769791667
20210901GBC2OW,1363,10,2,1375,714,1.925770308
20210914DSCT1NS,84,4,19,107,984,0.108739837
20210914DSCT1OW,150,3,35,188,976,0.192622951
20210914DSCT2NS,43,8,3,54,1067,0.050609185
20210914DSCT2OW,188,74,2,264,907,0.29106946
20210914DSCT3OW,69,47,10,126,539,0.233766234
20210914DSCT3OW2,62,53,1,116,692,0.167630058
20210914DSCT4OW,55,59,39,153,694,0.220461095
20210914DSCT4OW2,18,60,1,79,433,0.182448037
20210920DBNS3,19,141,2,162,292,0.554794521
20210920DBOW1,13,98,0,111,258,0.430232558
20210920DBOW2,22,98,0,120,284,0.422535211
20210920DBOW3,20,133,0,153,246,0.62195122
20210920EMC3NS,3779,79,76,3934,1208,3.256622517
20210920EMC3OW,2243,702,2,2947,1071,2.751633987
20210920EMC4NS,3991,951,21,4963,1686,2.943653618
20210920GBC2NS,790,13,49,852,1013,0.84106614
20210928DSCT1NS,64,35,11,110,1043,0.105465005
20210928DSCT1OW,70,9,12,91,912,0.099780702
20210928DSCT2NS,24,32,58,114,915,0.124590164
20210928DSCT2NS2,23,61,157,241,856,0.281542056
20210928DSCT2OW,97,18,7,122,2361,0.05167302
20210928DSCT3OW,66,17,11,94,870,0.108045977
20210928DSCT3OW2,74,23,20,117,834,0.14028777
20210928DSCT4OW,14,13,41,68,283,0.240282686
20210928DSCT4OW2,41,44,169,254,932,0.272532189
20210929DBNS1,10,27,0,37,396,0.093434343
20210929DBNS2,14,15,0,29,1067,0.027179007
20210929DBNS3,208,844,2,1054,1046,1.007648184
20210929DBOW1,10,46,0,56,1119,0.050044683
20210929DBOW2,54,194,0,248,802,0.309226933
20210929DBOW3,3,10,0,13,941,0.01381509
20210929EMC3NS,14838,5316,3,20157,1656,12.17210145
20210929EMC3OW,8180,3100,1,11281,1243,9.075623492
20210929EMC4NS,12398,8174,11,20583,1967,10.46415862
20210929EMC4OW,13612,7007,0,20619,1515,13.60990099
20211013DBNS1,2,4,0,6,269,0.022304833
20211013DBNS2,5,7,1,13,283,0.045936396
20211013DBNS3,5,2,2,9,262,0.034351145
20211013DBOW1,3,5,0,8,264,0.03030303
20211013DBOW2,0,0,0,0,328,0
20211013DBOW3,1,0,0,1,282,0.003546099
20211013DSCT1NS,28,29,25,82,268,0.305970149
20211013DSCT1OW,8,26,2,36,283,0.127208481
20211013DSCT2NS,22,1,6,29,296,0.097972973
20211013DSCT2NS2,34,7,14,55,302,0.182119205
20211013DSCT2OW,62,10,0,72,515,0.139805825
20211013DSCT3OW,37,1,4,42,441,0.095238095
20211013DSCT3OW2,9,4,11,24,292,0.082191781
20211013DSCT4OW,11,5,8,24,275,0.087272727
20211013DSCT4OW2,18,12,4,34,259,0.131274131
20211013GBC2NS,20,55,30,105,323,0.325077399
20211013GBC2OW,7,11,1,19,319,0.059561129
20211014EMC3NS,302,261,0,563,255,2.207843137
20211014EMC3OW,318,280,0,598,242,2.47107438
20211014EMC4OW,547,446,0,993,325,3.055384615
20230508DBNS1,2424,12,0,2436,497,4.901408451
20230508DBNS2,1032,19,5,1056,554,1.906137184
20230508DBNS3,289,0,0,289,528,0.547348485
20230508DBOW1,286,0,0,286,517,0.553191489
20230508DBOW2,772,0,0,772,499,1.547094188
20230508DBOW3,924,0,0,924,514,1.79766537
20230508DSCT1NS,262,6,2,270,577,0.467937608
20230508DSCT1OW,94,4,0,98,405,0.241975309
20230508DSCT2NS,59,4,3,66,520,0.126923077
20230508DSCT2NS2,55,2,2,59,580,0.101724138
20230508DSCT2OW,53,3,0,56,671,0.083457526
20230508DSCT3OW,105,3,0,108,499,0.216432866
20230508DSCT3OW2,120,0,0,120,526,0.228136882
20230508DSCT4OW,126,1,0,127,720,0.176388889
20230508DSCT4OW2,126,0,0,126,553,0.227848101
20230508EMC1NS,149,0,0,149,351,0.424501425
20230508EMC1OW,99,0,0,99,423,0.234042553
20230508EMC2NS,114,3,3,120,422,0.28436019
20230508EMC2OW,638,0,0,638,536,1.190298507
20230508EMC3NS,29,1,2,32,648,0.049382716
20230508EMC3OW,414,5,1,420,597,0.703517588
20230508EMC4NS,222,2,21,245,990,0.247474747
20230508EMC4OW,570,10,0,580,1113,0.521114106
20230508GBC1NS,202,22,20,244,640,0.38125
20230508GBC1OW,245,1,0,246,694,0.354466859
20230508GBC2NS,257,12,8,277,539,0.513914657
20230508GBC2OW,161,1,1,163,597,0.273031826
20230524DBNS1,53,21,2,76,468,0.162393162
20230524DBNS2,83,18,1,102,499,0.204408818
20230524DBNS3,50,5,1,56,449,0.124721604
20230524DBOW1,43,0,0,43,470,0.091489362
20230524DBOW2,60,3,0,63,426,0.147887324
20230524DBOW3,186,4,0,190,440,0.431818182
20230524DSCT1NS,32,22,3,57,415,0.137349398
20230524DSCT1OW,34,6,3,43,427,0.100702576
20230524DSCT2NS,12,1,0,13,526,0.024714829
20230524DSCT2NS2,5,4,1,10,509,0.019646365
20230524DSCT2OW,7,45,1,53,603,0.087893864
20230524DSCT3OW,19,0,0,19,538,0.035315985
20230524DSCT3OW2,11,0,0,11,499,0.022044088
20230524DSCT4OW,20,11,0,31,776,0.039948454
20230524DSCT4OW2,13,0,0,13,565,0.02300885
20230524EMC1NS,6,1,0,7,323,0.021671827
20230524EMC1OW,3,0,0,3,470,0.006382979
20230524EMC2NS,1,6,0,7,342,0.020467836
20230524EMC2OW,8,1,0,9,629,0.014308426
20230524EMC3NS,17,4,1,22,452,0.048672566
20230524EMC3OW,15,0,1,16,695,0.023021583
20230524EMC4NS,37,16,0,53,443,0.119638826
20230524EMC4OW,36,23,0,59,1053,0.056030389
20230524GBC1NS,14,18,13,45,553,0.081374322
20230524GBC1OW,24,7,2,33,737,0.044776119
20230524GBC2NS,17,4,5,26,471,0.055201699
20230524GBC2OW,36,3,3,42,831,0.050541516
20230614DBNS1,10,21,5,36,506,0.071146245
20230614DBNS2,74,5,6,85,465,0.182795699
20230614DBNS3,45,19,6,70,504,0.138888889
20230614DBOW1,53,3,0,56,480,0.116666667
20230614DBOW2,19,1,0,20,479,0.041753653
20230614DBOW3,18,9,0,27,449,0.06013363
20230614DSCT1NS,7,24,5,36,530,0.067924528
20230614DSCT1OW,15,6,1,22,413,0.053268765
20230614DSCT2NS,3,1,1,5,461,0.010845987
20230614DSCT2NS2,6,4,0,10,427,0.023419204
20230614DSCT2OW,7,24,0,31,806,0.038461538
20230614DSCT3OW,9,4,1,14,452,0.030973451
20230614DSCT3OW2,18,12,7,37,445,0.083146067
20230614DSCT4OW,6,7,0,13,421,0.03087886
20230614DSCT4OW2,8,3,2,13,437,0.029748284
20230614EMC1NS,2,3,3,8,392,0.020408163
20230614EMC1OW,1,2,0,3,411,0.00729927
20230614EMC2NS,1,2,0,3,377,0.00795756
20230614EMC2OW,0,1,0,1,554,0.001805054
20230614EMC3NS,2,12,1,15,699,0.021459227
20230614EMC3OW,4,19,2,25,713,0.035063114
20230614EMC4NS,7,7,9,23,819,0.028083028
20230614EMC4OW,9,79,1,89,1088,0.081801471
20230614GBC1NS,8,9,12,29,566,0.051236749
20230614GBC1OW,8,5,6,19,499,0.038076152
20230614GBC2NS,16,7,8,31,627,0.049441786
20230614GBC2OW,2,0,2,4,566,0.007067138
20230622DBNS1,12,8,9,29,490,0.059183673
20230622DBNS2,101,0,0,101,489,0.206543967
20230622DBNS3,73,11,1,85,499,0.170340681
20230622DBOW1,27,8,0,35,524,0.066793893
20230622DBOW2,32,0,0,32,485,0.065979381
20230622DBOW3,83,4,0,87,480,0.18125
20230622DSCT1NS,1,0,2,3,499,0.006012024
20230622DSCT1OW,5,10,1,16,486,0.032921811
20230622DSCT2NS,4,3,0,7,506,0.013833992
20230622DSCT2NS2,1,0,0,1,488,0.00204918
20230622DSCT2OW,16,123,0,139,1753,0.079292641
20230622DSCT3OW,6,1,0,7,521,0.013435701
20230622DSCT3OW2,6,3,1,10,506,0.019762846
20230622DSCT4OW,8,33,3,44,552,0.079710145
20230622DSCT4OW2,5,17,2,24,540,0.044444444
20230622EMC1NS,2,4,0,6,363,0.016528926
20230622EMC1OW,2,1,0,3,403,0.007444169
20230622EMC2NS,1,1,1,3,486,0.00617284
20230622EMC2OW,2,0,0,2,454,0.004405286
20230622EMC3NS,4,5,4,13,640,0.0203125
20230622EMC3OW,3,2,0,5,634,0.007886435
20230622EMC4NS,2,10,12,24,888,0.027027027
20230622EMC4OW,9,11,0,20,1049,0.019065777
20230622GBC1NS,3,13,15,31,676,0.045857988
20230622GBC1OW,23,3,5,31,707,0.043847242
20230622GBC2NS,3,9,8,20,563,0.035523979
20230622GBC2OW,63,27,19,109,801,0.1360799
20230706DBNS1,187,8,2,197,464,0.424568966
20230706DBNS2,203,7,0,210,245,0.857142857
20230706DBNS3,90,11,0,101,442,0.228506787
20230706DBOW1,139,1,0,140,499,0.280561122
20230706DBOW2,589,12,2,603,436,1.383027523
20230706DBOW3,88,8,0,96,386,0.248704663
20230706DSCT1NS,54,3,0,57,371,0.153638814
20230706DSCT1OW,29,7,1,37,228,0.162280702
20230706DSCT2NS,32,7,0,39,331,0.117824773
20230706DSCT2NS2,35,7,0,42,325,0.129230769
20230706DSCT2OW,134,38,0,172,948,0.181434599
20230706DSCT3OW,59,3,0,62,408,0.151960784
20230706DSCT3OW2,68,4,0,72,442,0.162895928
20230706DSCT4OW,294,51,2,347,555,0.625225225
20230706DSCT4OW2,210,4,0,214,687,0.311499272
20230706EMC1NS,29,1,0,30,199,0.150753769
20230706EMC2NS,13,2,0,15,280,0.053571429
20230706EMC2OW,267,12,0,279,373,0.747989276
20230706EMC3NS,10,2,4,16,515,0.031067961
20230706EMC3OW,223,40,0,263,530,0.496226415
20230706EMC4NS,35,3,4,42,770,0.054545455
20230706EMC4OW,594,81,0,675,1121,0.602140946
20230706GBC1NS,135,9,16,160,603,0.265339967
20230706GBC1OW,255,0,4,259,770,0.336363636
20230706GBC2NS,212,5,7,224,431,0.519721578
20230706GBC2OW,246,5,1,252,784,0.321428571
20230811DBNS1,179,10,6,195,508,0.383858268
20230811DBNS2,567,2,0,569,450,1.264444444
20230811DBNS3,139,8,5,152,483,0.314699793
20230811DBOW1,560,4,0,564,453,1.245033113
20230811DBOW2,340,10,0,350,479,0.730688935
20230811DBOW3,248,11,0,259,452,0.57300885
20230811DSCT1NS,252,4,7,263,478,0.550209205
20230811DSCT1OW,64,1,0,65,505,0.128712871
20230811DSCT2NS,85,0,2,87,430,0.202325581
20230811DSCT2NS2,242,5,2,249,461,0.540130152
20230811DSCT2OW,202,23,0,225,786,0.286259542
20230811DSCT3OW,109,7,0,116,451,0.257206208
20230811DSCT3OW2,112,4,6,122,443,0.275395034
20230811DSCT4OW,86,1,4,91,453,0.200883002
20230811DSCT4OW2,50,0,2,52,358,0.145251397
20230811EMC1NS,16,0,0,16,340,0.047058824
20230811EMC1OW,38,4,2,44,426,0.103286385
20230811EMC2NS,88,1,3,92,412,0.223300971
20230811EMC2OW,54,4,1,59,571,0.103327496
20230811EMC3NS,89,7,10,106,485,0.218556701
20230811EMC3OW,61,14,9,84,666,0.126126126
20230811EMC4NS,86,3,3,92,509,0.180746562
20230811EMC4OW,137,35,7,179,1157,0.154710458
20230811GBC1NS,73,11,27,111,560,0.198214286
20230811GBC1OW,84,4,5,93,586,0.158703072
20230811GBC2NS,73,8,10,91,544,0.167279412
20230811GBC2OW,81,3,3,87,406,0.214285714
20230816DBNS1,270,4,8,282,484,0.582644628
20230816DBNS2,455,2,1,458,453,1.011037528
20230816DBNS3,353,25,7,385,460,0.836956522
20230816DBOW1,460,0,0,460,446,1.031390135
20230816DBOW2,934,14,0,948,461,2.056399132
20230816DBOW3,414,2,0,416,454,0.916299559
20230816DSCT1NS,120,18,11,149,443,0.336343115
20230816DSCT1OW,293,14,0,307,487,0.630390144
20230816DSCT2NS,320,3,4,327,537,0.608938547
20230816DSCT2NS2,100,0,5,105,436,0.240825688
20230816DSCT2OW,390,0,2,392,1228,0.319218241
20230816DSCT3OW,372,0,0,372,487,0.76386037
20230816DSCT3OW2,129,0,2,131,451,0.290465632
20230816DSCT4OW,186,6,1,193,421,0.458432304
20230816DSCT4OW2,99,5,3,107,435,0.245977011
20230816EMC1NS,244,2,15,261,363,0.719008264
20230816EMC1OW,24,0,193,217,402,0.539800995
20230816EMC2NS,85,3,11,99,343,0.288629738
20230816EMC2OW,46,2,1,49,506,0.096837945
20230816EMC3NS,63,7,3,73,496,0.147177419
20230816EMC3OW,119,8,0,127,810,0.156790123
20230816EMC4NS,59,3,0,62,492,0.12601626
20230816EMC4OW,185,18,1,204,1060,0.19245283
20230816GBC1NS,27,1,4,32,641,0.049921997
20230816GBC1OW,40,1,0,41,479,0.08559499
20230816GBC2NS,101,18,10,129,496,0.260080645
20230816GBC2OW,84,5,7,96,434,0.221198157
20230829DBNS1,114,3,0,117,437,0.267734554
20230829DBNS2,679,4,7,690,446,1.547085202
20230829DBNS3,139,2,8,149,485,0.307216495
20230829DBOW1,114,0,0,114,469,0.243070362
20230829DBOW2,160,2,0,162,455,0.356043956
20230829DBOW3,65,0,0,65,466,0.139484979
20230829DSCT1OW,209,2,1,212,503,0.421471173
20230829DSCT2NS,32,3,2,37,541,0.068391867
20230829DSCT2NS2,187,0,2,189,474,0.398734177
20230829DSCT2OW,169,7,1,177,775,0.228387097
20230829DSCT3OW,150,2,1,153,490,0.312244898
20230829DSCT3OW2,258,1,2,261,446,0.585201794
20230829DSCT4OW,132,1,0,133,478,0.278242678
20230829DSCT4OW2,69,0,0,69,371,0.185983827
20230829EMC1NS,158,3,7,168,325,0.516923077
20230829EMC1OW,21,2,2,25,319,0.078369906
20230829EMC2NS,132,13,25,170,384,0.442708333
20230829EMC2OW,45,2,0,47,373,0.126005362
20230829EMC3NS,59,0,2,61,467,0.130620985
20230829EMC3OW,51,2,1,54,599,0.09015025
20230829EMC4NS,9,2,0,11,468,0.023504274
20230829EMC4OW,129,2,0,131,806,0.162531017
20230829GBC1NS,65,0,18,83,435,0.190804598
20230829GBC1OW,125,0,1,126,572,0.22027972
20230829GBC2NS,148,8,8,164,442,0.371040724
20230829GBC2OW,54,0,5,59,377,0.156498674
20230913DBNS1,292,19,42,353,600,0.588333333
20230913DBNS2,222,7,19,248,504,0.492063492
20230913DBNS3,167,10,12,189,635,0.297637795
20230913DBOW1,43,0,0,43,607,0.070840198
20230913DBOW2,85,0,0,85,499,0.170340681
20230913DBOW3,584,0,1,585,605,0.966942149
20230913DSCT1NS,141,4,16,161,556,0.289568345
20230913DSCT1OW,174,2,0,176,688,0.255813953
20230913DSCT2NS,106,6,4,116,616,0.188311688
20230913DSCT2NS2,64,0,2,66,456,0.144736842
20230913DSCT2OW,81,21,4,106,802,0.132169576
20230913DSCT3OW,196,0,0,196,476,0.411764706
20230913DSCT3OW2,119,2,7,128,432,0.296296296
20230913DSCT4OW,47,1,2,50,470,0.106382979
20230913DSCT4OW2,53,1,0,54,496,0.108870968
20230913EMC1NS,49,3,8,60,342,0.175438596
20230913EMC1OW,11,1,1,13,314,0.041401274
20230913EMC2NS,55,1,20,76,327,0.232415902
20230913EMC2OW,23,2,9,34,416,0.081730769
20230913EMC3NS,167,4,16,187,790,0.236708861
20230913EMC3OW,50,1,3,54,828,0.065217391
20230913EMC4NS,73,3,10,86,562,0.153024911
20230913EMC4OW,62,1,1,64,1046,0.061185468
20230913GBC1NS,75,11,9,95,642,0.147975078
20230913GBC1OW,70,3,2,75,508,0.147637795
20230913GBC2NS,133,3,8,144,513,0.280701754
20230913GBC2OW,43,3,5,51,391,0.130434783
20230929DBNS1,32,234,16,282,472,0.597457627
20230929DBNS2,175,469,42,686,763,0.899082569
20230929DBNS3,76,243,16,335,531,0.630885122
20230929DBOW1,31,148,0,179,530,0.337735849
20230929DBOW2,5,91,0,96,609,0.157635468
20230929DBOW3,8,86,0,94,560,0.167857143
20230929DSCT1NS,32,131,16,179,490,0.365306122
20230929DSCT1OW,16,107,1,124,525,0.236190476
20230929DSCT2NS,15,101,0,116,421,0.275534442
20230929DSCT2NS2,36,83,2,121,393,0.307888041
20230929DSCT2OW,94,346,4,444,1841,0.241173275
20230929DSCT3OW,48,251,1,300,470,0.638297872
20230929DSCT3OW2,31,224,5,260,531,0.489642185
20230929DSCT4OW,20,44,0,64,143,0.447552448
20230929DSCT4OW2,5,0,1,6,398,0.015075377
20230929EMC1NS,40,136,9,185,407,0.454545455
20230929EMC1OW,5,28,1,34,434,0.078341014
20230929EMC2NS,104,162,41,307,630,0.487301587
20230929EMC2OW,4,13,4,21,410,0.051219512
20230929EMC3NS,45,124,18,187,738,0.253387534
20230929EMC3OW,2,12,0,14,802,0.017456359
20230929EMC4NS,69,70,6,145,629,0.230524642
20230929EMC4OW,8,34,0,42,1016,0.041338583
20230929GBC1NS,174,261,42,477,634,0.752365931
20230929GBC1OW,44,193,6,243,581,0.418244406
20230929GBC2NS,32,100,6,138,630,0.219047619
20230929GBC2OW,40,117,4,161,481,0.334719335
20231009DBNS2,34,227,23,284,689,0.412191582
20231009DBNS3,60,324,32,416,898,0.46325167
20231009DBOW1,17,56,0,73,304,0.240131579
20231009DBOW2,12,68,0,80,393,0.203562341
20231009DBOW3,34,215,1,250,468,0.534188034
20231009DSCT1NS,38,160,58,256,794,0.322418136
20231009DSCT1OW,24,79,4,107,560,0.191071429
20231009DSCT2NS2,56,180,3,239,551,0.433756806
20231009DSCT2OW,45,267,5,317,786,0.403307888
20231009DSCT3OW,7,87,1,95,343,0.27696793
20231009DSCT3OW2,13,114,5,132,385,0.342857143
20231009DSCT4OW,15,96,1,112,422,0.265402844
20231009DSCT4OW2,4,53,0,57,286,0.199300699
20231009EMC1NS,57,24,8,89,420,0.211904762
20231009EMC1OW,19,27,3,49,117,0.418803419
20231009EMC2NS,33,57,8,98,293,0.33447099
20231009EMC2OW,2,14,4,20,275,0.072727273
20231009EMC3NS,36,59,15,110,800,0.1375
20231009EMC3OW,5,27,0,32,586,0.054607509
20231009EMC4NS,11,103,3,117,599,0.195325543
20231009EMC4OW,6,111,1,118,899,0.131256952
20231009GBC1NS,232,361,28,621,686,0.905247813
20231009GBC1OW,17,185,1,203,650,0.312307692
20231009GBC2NS,95,234,20,349,680,0.513235294
20231009GBC2OW,4,59,0,63,348,0.181034483
20231024DBNS1,59,196,17,272,410,0.663414634
20231024DBNS2,23,508,19,550,530,1.037735849
20231024DBNS3,83,269,23,375,506,0.741106719
20231024DBOW1,12,83,0,95,545,0.174311927
20231024DBOW2,11,53,0,64,464,0.137931034
20231024DBOW3,3,27,0,30,367,0.081743869
20231024DSCT1NS,1,36,2,39,263,0.148288973
20231024DSCT1OW,5,55,2,62,412,0.150485437
20231024DSCT2NS,21,117,3,141,499,0.28256513
20231024DSCT2NS2,66,259,0,325,501,0.648702595
20231024DSCT2OW,60,262,1,323,888,0.363738739
20231024DSCT3OW,56,275,1,332,435,0.763218391
