skeleton,total_copes,total_clads,total_amphs,total_zoops,num_images,zoops_p_image
20210504DBNS1,2,10,5,17,600,0.028333333
20210504DBNS2,6,12,9,27,987,0.027355623
20210504DBOW1,156,61,2,219,1037,0.211186114
20210504DBOW2,314,131,1,446,1020,0.437254902
20210504DBOW3,135,91,5,231,974,0.237166324
20210513DSCT1NS,2,1,4,7,737,0.009497965
20210513DSCT1OW,68,6,2,76,720,0.105555556
20210513DSCT2NS,179,20,24,223,672,0.331845238
20210513DSCT2NS2,397,131,6,534,643,0.830482115
20210513DSCT2OW,1173,323,1,1497,2529,0.591933571
20210513DSCT3OW2,123,460,24,607,927,0.654800431
20210513DSCT4OW,253,142,19,414,1070,0.386915888
20210513DSCT4OW2,27,2,9,38,501,0.075848303
20210514EMC3OW,2509,1187,6,3702,908,4.077092511
20210514EMC4NS,7885,1711,128,9724,1693,5.743650325
20210514GBC2NS,2358,3227,42,5627,1096,5.134124088
20210514GBC2OW,5633,13045,55,18733,987,18.97973658
20210518DSCT1NS,2,5,51,58,684,0.084795322
20210518DSCT1OW,12,3,2,17,839,0.020262217
20210518DSCT2NS,44,8,13,65,693,0.093795094
20210518DSCT2NS2,61,8,3,72,689,0.104499274
20210518DSCT2OW,48,8,1,57,731,0.077975376
20210518DSCT3OW,492,29,16,537,739,0.726657645
20210518DSCT3OW2,474,74,37,585,662,0.883685801
20210518DSCT4OW,451,18,17,486,897,0.54180602
20210518DSCT4OW2,317,78,132,527,709,0.743300423
20210519DBNS1,11723,27710,434,39867,737,54.0936228
20210519DBNS2,1331,13215,496,15042,714,21.06722689
20210519DBNS3,15563,27112,381,43056,751,57.33155792
20210519DBOW1,12794,15739,87,28620,852,33.5915493
20210519DBOW2,16003,18379,113,34495,803,42.95765878
20210519DBOW3,10109,11154,72,21335,712,29.96488764
20210519EMC3NS,1423,387,25,1835,929,1.975242196
20210519EMC3OW,7887,2474,11,10372,768,13.50520833
20210519EMC4NS,23301,2963,114,26378,1670,15.79520958
20210519EMC4OW,34282,7320,68,41670,718,58.0362117
20210519GBC2NS,590,551,22,1163,920,1.264130435
20210519GBC2OW,2162,951,9,3122,877,3.55986317
20210603DSCT1NS,172,22,14,208,927,0.22437972
20210603DSCT1OW,572,240,11,823,1004,0.819721116
20210603DSCT2NS2,35,24,1,60,247,0.24291498
20210603DSCT2OW,229,78,4,311,2291,0.135748581
20210603DSCT3OW,96,93,0,189,898,0.210467706
20210603DSCT3OW2,145,176,70,391,914,0.427789934
20210603DSCT4OW,156,134,30,320,410,0.780487805
20210603DSCT4OW2,230,371,126,727,845,0.86035503
20210604EMC3OW,6933,4659,4,11596,1244,9.321543408
20210604EMC4NS,9769,14773,200,24742,2473,10.00485241
20210604EMC4OW,33377,70507,74,103958,1715,60.61690962
20210604GBC2NS,196,116,262,574,1168,0.491438356
20210604GBC2OW,138,33,11,182,934,0.194860814
20210616DSCT1NS,400,70,63,533,854,0.62412178
20210616DSCT1OW,45,6,21,72,956,0.075313808
20210616DSCT2NS,13,18,41,72,960,0.075
20210616DSCT2NS2,19,4,18,41,807,0.050805452
20210616DSCT2OW,56,11,3,70,1262,0.055467512
20210616DSCT3OW,68,1,2,71,493,0.144016227
20210616DSCT3OW2,528,52,74,654,976,0.670081967
20210616DSCT4OW,284,57,59,400,1224,0.326797386
20210616DSCT4OW2,213,51,95,359,870,0.412643678
20210617DBNS1,4610,773,115,5498,887,6.198421646
20210617DBNS2,1934,353,40,2327,760,3.061842105
20210617DBNS3,16340,2722,426,19488,911,21.39187706
20210617DBOW1,30059,1686,124,31869,903,35.2923588
20210617DBOW2,24326,2073,142,26541,903,29.39202658
20210617DBOW3,36770,2567,161,39498,945,41.7968254
20210617EMC3NS,901,77,27,1005,1444,0.69598338
20210617EMC3OW,2667,473,12,3152,1092,2.886446886
20210617EMC4NS,273,65,67,405,2467,0.164167004
20210617EMC4OW,436,81,4,521,1518,0.343214756
20210617GBC2NS,100,57,144,301,1292,0.232972136
20210617GBC2OW,147,6,4,157,957,0.164054336
20210630DSCT1NS,171,80,132,383,1165,0.328755365
20210630DSCT1OW,160,9,5,174,998,0.174348697
20210630DSCT2NS,170,45,98,313,1065,0.293896714
20210630DSCT2NS2,286,17,21,324,946,0.342494715
20210630DSCT2OW,452,172,14,638,1718,0.371362049
20210630DSCT3OW,97,15,31,143,974,0.146817248
20210630DSCT3OW2,194,13,29,236,946,0.249471459
20210630DSCT4OW,260,68,182,510,918,0.555555556
20210630DSCT4OW2,206,55,138,399,937,0.425827108
20210701EMC3NS,584,82,31,697,1089,0.640036731
20210701EMC3OW,6332,153,11,6496,1374,4.727802038
20210701EMC4NS,3014,2455,338,5807,2513,2.310783924
20210701EMC4OW,4943,24807,2,29752,1665,17.86906907
20210701GBC2NS,5150,4345,84,9579,1338,7.159192825
20210701GBC2OW,5029,3791,1,8821,1169,7.545765612
20210721DBNS1,7362,5873,69,13304,712,18.68539326
20210721DBNS2,6035,3868,90,9993,572,17.47027972
20210721DBNS3,9107,5510,38,14655,684,21.4254386
20210721DBOW1,3327,3306,47,6680,417,16.01918465
20210721DBOW2,2578,2233,46,4857,437,11.11441648
20210721DBOW3,4994,4512,68,9574,599,15.98330551
20210721EMC3NS,557,449,198,1204,981,1.227319062
20210721EMC3OW,379,269,5,653,912,0.716008772
20210721EMC4NS,2761,1930,328,5019,1798,2.791434928
20210721EMC4OW,15824,14675,4,30503,1597,19.10018785
20210721GBC2NS,210,495,13,718,1047,0.685768863
20210721GBC2OW,158,525,0,683,625,1.0928
20210803DSCT1NS,98,49,19,166,283,0.586572438
20210803DSCT1OW,22,23,7,52,296,0.175675676
20210803DSCT2NS,17,1,3,21,210,0.1
20210803DSCT2NS2,40,6,4,50,272,0.183823529
20210803DSCT2OW,107,24,4,135,869,0.155350978
20210803DSCT3OW,29,9,17,55,216,0.25462963
20210803DSCT3OW2,61,88,105,254,440,0.577272727
20210803DSCT4OW,6,1,5,12,190,0.063157895
20210803DSCT4OW2,15,28,16,59,357,0.165266106
20210804DBNS1,350,667,31,1048,210,4.99047619
20210804DBNS2,431,735,24,1190,372,3.198924731
20210804DBNS3,598,1540,42,2180,354,6.15819209
20210804DBOW1,560,907,23,1490,304,4.901315789
